# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
fan1 	分	c=3 d=0.2334 t=6354
fan1 bit6 	分別	c=3 d=0.0167496 t=6354
fan1 lai5 	婚禮	c=1 d=1.84708e-13 t=6354
fan1 sau2 	分手	c=1 d=0.00154923 t=6354
fan1 zung1 	分鐘	c=3 d=0.0159664 t=6354
fan2 pei4 	粉皮	c=1 d=0.831104 t=6354
fan2 si1 	粉絲	c=5 d=0.00244518 t=6354
fan2 si1 zeoi6 wui6 	粉絲聚會	c=1 d=2.1353e-13 t=6354
fan3 	訓	c=2 d=0.0308183 t=6354
fan3 gaau3 	瞓覺	c=0 d=7.06873e-09 t=6354
fan5 nou6 dik1 	憤怒的	c=1 d=0.00222055 t=6354
fan6 	份	c=4 d=5.48932e-08 t=6354
fau4 kwaa1 	浮誇	c=2 d=2.43843e-08 t=6354
fei1 	飛	c=2 d=0.00798652 t=6354
fei1 gei1 	飛機	c=1 d=4.68065e-11 t=6354
fei1 lam2 	菲林	c=1 d=0.00236968 t=6354
fei4 ngau4 	肥牛	c=1 d=0.00318278 t=6354
fei4 po4 	肥婆	c=1 d=1.10592e-08 t=6354
fei4 zai2 	肥仔	c=2 d=1.11974e-07 t=6354
fo1 	科	c=2 d=2.37115e-11 t=6354
fo1 daai6 	科大	c=10 d=6.68051e-08 t=6354
fo1 hok6 jyun4 	科學園	c=5 d=0.00230864 t=6354
fo3 lip1 	貨𨋢	c=1 d=1.32746e-09 t=6354
fong1 faat3 	方法	c=2 d=6.76767e-07 t=6354
fong3 gung1 	放工	c=3 d=3.62088e-11 t=6354
fong4 	房	c=1 d=6.22097e-05 t=6354
fong4 bat1 sing1 fong4 	防不勝防	c=1 d=0.0120342 t=6354
fong4 gaan1 	房間	c=1 d=0.404542 t=6354
fu1 sik1 	膚色	c=1 d=0.00644146 t=6354
fu3 	副	c=1 d=0.644036 t=6354
fu4 hap6 	符合	c=1 d=3.44904e-07 t=6354
fu6 fun2 	付款	c=1 d=0.161218 t=6354
fu6 mou5 	父母	c=2 d=0.17302 t=6354
fu6 soeng5 	附上	c=1 d=1.35427e-09 t=6354
fuk6 	伏	c=1 d=2.8463e-12 t=6354
fung1 	封	c=4 d=0.000156715 t=6354
fung1 ceoi3 	風趣	c=1 d=0.00226541 t=6354
fung1 kau4 	風球	c=0 d=1.42395e-12 t=6354
fung1 kwong4 	瘋狂	c=1 d=3.12996e-12 t=6354
fung4 can1 	逢嚫	c=2 d=8.80054e-10 t=6354
fung6 wong4 	鳳凰	c=1 d=3.16852e-09 t=6354
fut3 lok6 	闊落	c=1 d=0.00027603 t=6354
gaa1 	加	c=3 d=0.170333 t=6354
gaa1 	家	c=2 d=0.00631391 t=6354
gaa1 coeng4 	加場	c=1 d=0.472367 t=6354
gaa1 jan4 	家人	c=1 d=1.59337e-10 t=6354
gaa1 naa4 daai6 	加拿大	c=7 d=0.876052 t=6354
gaa2 	假	c=3 d=0.0209347 t=6354
gaa2 gau2 	假狗	c=1 d=0.000182274 t=6354
gaa3 	價	c=2 d=0.000120282 t=6354
gaa3 	架	c=5 d=0.0183156 t=6354
gaa3 cin2 	價錢	c=1 d=1.48181e-09 t=6354
gaa3 fe1 	咖啡	c=1 d=1.9858e-12 t=6354
gaa3 laa3 	㗎喇	c=1 d=0.000461975 t=6354
gaa3 maa5 ji4 	價碼兒	c=0 d=1.05453e-08 t=6354
gaa3 maa5 ji4 tung4 	價碼兒同	c=1 d=1.05982e-07 t=6354
gaa3 wo3 	㗎喎	c=1 d=5.13382e-10 t=6354
gaai1 	街	c=1 d=0.000520875 t=6354
gaai2 gu3 	解僱	c=1 d=2.19995e-11 t=6354
gaai2 sik1 	解釋	c=3 d=2.47626e-07 t=6354
gaai2 sik1 m4 dou2 	解釋唔到	c=1 d=2.30043e-07 t=6354
gaai3 	屆	c=2 d=0.115903 t=6354
gaai3 	戒	c=2 d=0.00193664 t=6354
gaai3 ji3 	介意	c=0 d=0.000351752 t=6354
gaai3 siu6 	介紹	c=1 d=0.398519 t=6354
gaak3 	格	c=1 d=3.72792e-10 t=6354
gaak3 	隔	c=1 d=0.000114493 t=6354
gaak3 zai2 	格仔	c=1 d=0.000100034 t=6354
gaam2 	減	c=1 d=2.68566e-05 t=6354
gaam3 gaai3 	尷尬	c=1 d=0.000159256 t=6354
gaan2 	揀	c=3 d=0.226695 t=6354
gaan2 soeng1 	揀相	c=1 d=0.00321477 t=6354
gaan3 	間	c=11 d=0.131835 t=6354
gaap3 	夾	c=4 d=3.39064e-05 t=6354
